City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,64.78,81,27,13.0,PT,1731812033
1,adamstown,-25.066,-130.1015,74.77,79,0,6.67,PN,1731812034
2,susuman,62.7833,148.1667,-15.45,99,97,2.46,RU,1731812035
3,edinburgh of the seven seas,-37.0676,-12.3116,53.19,62,37,17.76,SH,1731812036
4,new plymouth,-39.0667,174.0833,60.31,100,4,4.43,NZ,1731812037
5,enewetak,11.3474,162.3373,83.17,65,12,11.5,MH,1731812038
6,west island,-12.1568,96.8225,82.38,78,75,14.97,CC,1731812040
7,minas de marcona,-15.2119,-75.1103,57.36,84,99,9.01,PE,1731812041
8,grytviken,-54.2811,-36.5092,36.9,98,100,13.82,GS,1731812042
9,saint croix,17.7397,-64.7388,77.45,89,40,5.75,VI,1731812043
10,whitehorse,60.7161,-135.0538,27.37,92,100,6.91,CA,1731812044
11,puerto ayora,-0.7393,-90.3518,70.83,72,23,7.96,EC,1731812045
12,tarko-sale,64.9225,77.785,24.62,95,99,15.93,RU,1731812046
13,talnakh,69.4865,88.3972,5.56,95,100,14.16,RU,1731812047
14,port-aux-francais,-49.35,70.2167,38.35,68,9,22.35,TF,1731812048
15,trincomalee,8.5711,81.2335,82.94,74,44,7.54,LK,1731812049
16,waitangi,-43.9535,-176.5597,55.81,63,27,4.0,NZ,1731812050
17,kalamata,37.0389,22.1142,53.11,70,20,6.91,GR,1731812052
18,kununurra,-15.7667,128.7333,96.78,46,39,8.05,AU,1731812053
19,puerto natales,-51.7236,-72.4875,40.6,90,88,13.11,CL,1731812054
20,st. john's,47.5649,-52.7093,52.29,97,100,10.36,CA,1731811961
21,tura,25.5198,90.2201,73.83,65,0,0.29,IN,1731812056
22,olonkinbyen,70.9221,-8.7187,23.49,72,100,33.53,SJ,1731812057
23,fougamou,-1.2154,10.5838,72.77,99,49,0.69,GA,1731812059
24,turpan,42.9333,89.1667,43.75,32,14,1.43,CN,1731812060
25,tazacorte,28.629,-17.9293,63.57,91,20,8.01,ES,1731812061
26,ixtapa,20.7,-105.2,74.43,96,61,1.59,MX,1731812062
27,haiku-pauwela,20.9219,-156.3051,77.02,72,40,25.32,US,1731812063
28,thompson,55.7435,-97.8558,26.76,86,100,2.3,CA,1731812065
29,page,36.9147,-111.4558,40.78,66,0,3.0,US,1731812066
30,polyarnyy,69.1989,33.4478,34.47,81,100,15.52,RU,1731812067
31,vadso,70.0744,29.7487,39.36,81,40,20.71,NO,1731812045
32,hithadhoo,-0.6,73.0833,83.32,73,98,13.4,MV,1731812069
33,tiksi,71.6872,128.8694,-19.12,99,68,6.02,RU,1731812070
34,cooper's town,26.8667,-77.5167,74.66,59,69,14.16,BS,1731812071
35,lerwick,60.1545,-1.1494,41.4,70,100,25.37,GB,1731812073
36,longyearbyen,78.2186,15.6401,19.24,53,20,21.85,SJ,1731812074
37,nar'yan-mar,67.6713,53.087,11.41,98,97,7.25,RU,1731812075
38,wailua homesteads,22.0669,-159.378,77.79,81,75,21.85,US,1731812076
39,palmer,42.1584,-72.3287,47.91,58,0,3.2,US,1731812077
40,keflavik,64.0049,-22.5624,28.83,64,20,19.57,IS,1731812080
41,micheweni,-4.9667,39.8333,78.24,81,80,3.89,TZ,1731812081
42,lib,8.3122,167.3766,83.23,76,20,12.46,MH,1731812082
43,sabratah,32.7933,12.4885,64.0,78,19,2.73,LY,1731812083
44,cabo san lucas,22.8909,-109.9124,74.75,64,26,8.01,MX,1731812048
45,payakumbuh,-0.2202,100.6308,77.43,89,99,1.39,ID,1731812087
46,shingu,33.7333,135.9833,72.75,76,46,3.22,JP,1731812088
47,margate,51.3813,1.3862,47.7,81,100,1.01,GB,1731811824
48,tondano,1.3038,124.9112,80.69,97,100,1.7,ID,1731812090
49,dunedin,-45.8742,170.5036,57.79,54,53,5.99,NZ,1731812091
50,necochea,-38.5473,-58.7368,51.35,92,100,10.31,AR,1731811915
51,island harbour,50.724,-1.2758,47.01,66,94,5.99,GB,1731812094
52,badger,64.8,-147.5333,3.36,78,100,0.0,US,1731812095
53,stanley,54.868,-1.6985,36.52,85,0,13.8,GB,1731812096
54,geraldton,-28.7667,114.6,86.41,17,0,14.05,AU,1731812097
55,puerto baquerizo moreno,-0.9,-89.6,70.72,70,63,8.97,EC,1731812099
56,novo aripuana,-5.1206,-60.3797,73.51,93,88,2.08,BR,1731812100
57,uturoa,-16.7333,-151.4333,79.7,80,88,17.76,PF,1731812103
58,flying fish cove,-10.4217,105.6791,80.28,89,100,9.22,CX,1731812104
59,weno,7.4515,151.8468,87.75,79,40,8.05,FM,1731812105
60,lebu,-37.6167,-73.65,52.36,78,2,18.72,CL,1731812106
61,colonia,50.9333,6.95,48.85,81,100,12.66,DE,1731812108
62,qaqortoq,60.7167,-46.0333,23.67,67,100,7.9,GL,1731812109
63,biloela,-24.4167,150.5,85.19,40,97,9.55,AU,1731812110
64,tsiombe,-25.3,45.4833,79.81,62,67,3.58,MG,1731812111
65,fort mcmurray,56.7268,-111.381,33.39,74,100,8.05,CA,1731812114
66,bonthe,7.5264,-12.505,77.83,84,63,3.38,SL,1731812116
67,lafiagi,8.8667,5.4167,69.15,28,0,2.1,NG,1731812117
68,mancora,-4.1078,-81.0475,66.96,80,40,9.75,PE,1731812119
69,illizi,26.4833,8.4667,65.66,23,30,7.99,DZ,1731812120
70,la passe,45.5549,-0.8967,49.3,86,64,5.66,FR,1731812121
71,basco,20.4487,121.9702,80.78,87,58,15.12,PH,1731812122
72,toliara,-23.35,43.6667,77.11,81,40,4.27,MG,1731812123
73,manokwari,-0.8667,134.0833,84.65,65,49,7.99,ID,1731812024
74,san ignacio,17.1561,-89.0714,73.54,100,75,4.61,BZ,1731812127
75,smirnovo,54.5125,69.4222,24.15,94,72,12.57,KZ,1731812128
76,penzance,50.1186,-5.5371,48.88,68,88,14.92,GB,1731812129
77,midvagur,62.0511,-7.1939,34.63,75,100,26.46,FO,1731812130
78,plymstock,50.36,-4.0905,48.27,91,91,11.05,GB,1731812131
79,vilyuchinsk,52.9306,158.4028,19.67,79,100,1.34,RU,1731812132
80,alice springs,-23.7,133.8833,87.35,30,78,16.11,AU,1731812133
81,invercargill,-46.4,168.35,59.02,50,83,7.0,NZ,1731812135
82,meulaboh,4.1363,96.1285,76.08,95,100,20.56,ID,1731812136
83,fort bragg,35.139,-79.006,47.8,92,0,0.0,US,1731812137
84,tindouf,27.6711,-8.1474,63.05,36,75,2.3,DZ,1731812138
85,smithers,54.7804,-127.1743,35.92,100,100,4.61,CA,1731812139
86,tabou,4.423,-7.3528,77.81,87,12,5.35,CI,1731812140
87,blackmans bay,-43.0167,147.3167,64.53,82,100,5.99,AU,1731812141
88,constantia,44.1833,28.65,32.7,73,4,4.94,RO,1731811881
89,college,64.8569,-147.8028,5.16,83,100,0.0,US,1731812143
90,port lincoln,-34.7333,135.8667,62.91,48,0,22.21,AU,1731812039
91,andergrove,-21.0833,149.1833,80.73,65,78,14.03,AU,1731812145
92,bilibino,68.0546,166.4372,-26.63,100,93,2.55,RU,1731812146
93,whakatane,-37.9585,176.9854,66.51,63,79,11.01,NZ,1731812147
94,anar darah,32.7587,61.654,56.03,46,2,4.03,AF,1731812150
95,bethel,41.3712,-73.414,51.89,38,0,5.01,US,1731812151
96,fujin,47.26,132.0322,23.07,34,69,18.1,CN,1731812152
97,anadyr,64.75,177.4833,1.9,71,0,8.95,RU,1731811899
98,jamestown,42.097,-79.2353,44.24,87,100,4.61,US,1731812154
99,ruteng,-8.6136,120.4721,76.87,71,81,1.12,ID,1731812155
100,isafjordur,66.0755,-23.124,23.76,68,100,16.42,IS,1731812156
101,albany,42.6001,-73.9662,45.01,63,0,15.01,US,1731812157
102,florina,40.782,21.4098,27.43,93,0,4.32,GR,1731812158
103,selfoss,63.9331,-20.9971,24.04,54,100,13.27,IS,1731812159
104,yellowknife,62.456,-114.3525,30.72,99,100,12.66,CA,1731812160
105,nemuro,43.3236,145.575,56.95,86,100,37.04,JP,1731812161
106,kuanda,56.3161,116.0806,-5.75,92,63,1.01,RU,1731812163
107,matoury,4.8483,-52.3317,76.96,94,75,2.3,GF,1731812164
108,hawaiian paradise park,19.5933,-154.9731,73.87,94,100,4.61,US,1731812165
109,qandala,11.472,49.8728,77.86,86,52,1.77,SO,1731812166
110,bandar lampung,-5.4254,105.258,88.84,60,87,1.9,ID,1731812167
111,burao,9.5221,45.5336,67.96,72,94,9.33,SO,1731812168
112,ha'il,27.5219,41.6907,62.62,59,0,4.61,SA,1731812169
113,saint-joseph,-21.3667,55.6167,73.78,74,3,10.07,RE,1731812170
114,holualoa,19.6228,-155.9522,78.64,76,100,6.91,US,1731812171
115,waajid,3.8096,43.2463,74.59,77,100,10.02,SO,1731812172
116,mudgal,16.0167,76.4333,74.35,62,95,10.78,IN,1731812173
117,ubari,26.5921,12.7805,59.56,35,59,2.13,LY,1731812174
118,udachny,66.4167,112.4,-5.04,92,100,10.27,RU,1731812176
119,coquimbo,-29.9533,-71.3436,56.93,85,0,3.44,CL,1731812177
120,beaumont,30.0861,-94.1019,71.58,91,40,10.36,US,1731812178
121,bodo,67.28,14.405,35.78,94,75,16.11,NO,1731812179
122,afaahiti,-17.75,-149.2833,75.94,87,100,13.98,PF,1731812180
123,mossel bay,-34.1831,22.146,61.36,79,0,5.39,ZA,1731812181
124,margaret river,-33.95,115.0667,68.41,35,0,8.5,AU,1731812182
125,dzhetygara,52.1908,61.2006,31.87,90,95,8.9,KZ,1731812183
126,utrik,11.2278,169.8474,83.46,77,12,14.63,MH,1731812184
127,moires,35.0532,24.8744,55.22,82,64,5.01,GR,1731812186
128,tongchuan,35.0806,109.0897,42.4,54,100,3.06,CN,1731812187
129,bredasdorp,-34.5322,20.0403,57.69,90,0,2.46,ZA,1731812188
130,port elizabeth,-33.918,25.5701,58.32,95,0,2.3,ZA,1731812189
131,gantang,26.92,119.6333,75.83,75,24,1.63,CN,1731812190
132,zakynthos,37.7914,20.8953,56.89,66,13,9.1,GR,1731812191
133,avarua,-21.2078,-159.775,77.05,65,75,10.36,CK,1731812192
134,punta arenas,-53.15,-70.9167,41.11,81,75,5.75,CL,1731812067
135,guangyuan,32.442,105.823,47.01,85,100,6.98,CN,1731812194
136,trujillo,-8.116,-79.03,64.36,82,53,9.22,PE,1731812195
137,bardai,11.65,7.2333,62.38,22,2,9.1,NG,1731812196
138,iqaluit,63.7506,-68.5145,17.33,85,75,3.44,CA,1731812197
139,santiago de cao,-7.9589,-79.2392,64.53,82,48,9.22,PE,1731812198
140,san carlos del zulia,9.0,-71.9135,74.88,93,74,1.83,VE,1731812200
141,klyuchi,52.2667,79.1667,22.19,90,99,8.32,RU,1731812201
142,zhaqsy,51.9083,67.3133,22.62,91,100,9.06,KZ,1731812202
143,galveston,29.3669,-94.9669,76.05,83,100,1.01,US,1731811988
144,kingscliff,-28.2667,153.5667,80.94,69,84,12.66,AU,1731812204
145,kembe,4.6228,21.8865,69.22,98,100,1.59,CF,1731812205
146,khandyga,62.6667,135.6,-10.71,92,97,1.48,RU,1731812206
147,olovyannaya,50.95,115.5667,0.01,86,28,3.76,RU,1731812207
148,kotabumi,-4.8333,104.9,89.19,58,68,3.06,ID,1731812208
149,bamboo flat,11.7,92.7167,86.09,79,40,10.36,IN,1731812209
150,kingston,17.997,-76.7936,81.55,89,40,9.22,JM,1731812211
151,kenai,60.5544,-151.2583,23.09,93,100,4.61,US,1731812212
152,den burg,53.0542,4.7972,49.96,71,75,16.11,NL,1731812213
153,mvomero,-6.25,38.6667,72.46,96,45,3.09,TZ,1731812214
154,stephenville,32.2207,-98.2023,66.33,67,0,6.91,US,1731812215
155,rio grande,-32.035,-52.0986,70.99,89,36,18.28,BR,1731811974
156,ballina,-28.8667,153.5667,73.81,71,48,14.58,AU,1731812217
157,gamay,12.3854,125.2979,86.92,69,100,11.63,PH,1731812218
158,chonchi,-42.6128,-73.8092,45.12,92,4,4.23,CL,1731812219
159,north bend,43.4065,-124.2243,49.26,93,100,6.91,US,1731812220
160,takoradi,4.8845,-1.7554,78.67,84,86,5.86,GH,1731812143
161,hampton bays,40.869,-72.5176,53.85,42,0,9.22,US,1731812222
162,saipan,15.1355,145.701,88.5,76,0,14.97,MP,1731812223
163,chinde,26.8212,87.7095,71.69,60,0,3.18,NP,1731812225
164,verkhnevilyuysk,63.4453,120.3167,-16.04,96,37,4.76,RU,1731812226
165,poronaysk,49.2167,143.1167,36.23,95,100,8.97,RU,1731812227
166,amilly,47.9728,2.7719,36.05,94,39,5.41,FR,1731812228
167,taco pozo,-25.6167,-63.2833,84.52,47,87,7.23,AR,1731812229
168,saint-etienne-au-mont,50.6779,1.6308,49.84,92,100,12.66,FR,1731812230
169,sinjai,-5.1241,120.253,88.38,61,51,8.41,ID,1731812101
170,la sarre,48.8002,-79.1996,34.12,86,100,2.59,CA,1731812232
171,tomatlan,19.9333,-105.25,72.48,87,62,2.37,MX,1731812233
172,lepsy,46.235,78.9456,31.77,74,100,2.24,KZ,1731812234
173,itaituba,-4.2761,-55.9836,72.99,96,97,1.9,BR,1731812235
174,yuzhno-kurilsk,44.0306,145.8556,54.79,89,100,27.74,RU,1731812236
175,tripoli,32.8752,13.1875,65.23,77,43,5.1,LY,1731812238
176,al qitena,14.8648,32.3668,77.52,26,0,13.6,SD,1731812239
177,kayangel,8.0823,134.7173,84.96,75,14,19.04,PW,1731812240
178,quellon,-43.1167,-73.6167,46.29,82,1,11.63,CL,1731812241
179,upper grand lagoon,30.1633,-85.7408,62.02,88,0,1.99,US,1731812242
180,hasaki,35.7333,140.8333,69.46,85,98,5.79,JP,1731812243
181,yeniseysk,58.4497,92.1703,24.57,91,100,8.84,RU,1731812244
182,machico,32.7,-16.7667,67.01,72,40,5.99,PT,1731812245
183,crane,31.3974,-102.3501,65.86,76,6,21.21,US,1731812246
184,tamandare,-8.7597,-35.1047,75.76,80,8,6.76,BR,1731811994
185,ilulissat,69.2167,-51.1,8.62,72,34,0.0,GL,1731812249
186,ushuaia,-54.8,-68.3,37.06,75,40,8.05,AR,1731812156
187,black river,18.0264,-77.8487,76.5,92,100,7.16,JM,1731812253
188,viqueque,-8.8673,126.3658,89.28,58,93,8.3,TL,1731812254
189,ust-nera,64.5667,143.2,-7.83,97,100,1.9,RU,1731812255
190,port sudan,19.6175,37.2164,82.2,75,1,7.87,SD,1731812256
191,maridi,4.9158,29.4742,66.9,97,100,6.49,SS,1731812257
192,punta cana,18.5818,-68.4043,78.57,83,20,6.91,DO,1731811965
193,perdoes,-21.0908,-45.0914,60.8,97,74,3.56,BR,1731812260
194,gazipasa,36.2694,32.3179,63.68,80,47,10.63,TR,1731812261
195,newman,37.3138,-121.0208,48.06,65,7,1.01,US,1731812263
196,zmiyevka,52.6697,36.3739,37.89,93,100,13.2,RU,1731812264
197,uyuni,-20.4597,-66.825,54.07,39,64,14.43,BO,1731812265
198,vila franca do campo,37.7167,-25.4333,64.89,99,63,21.18,PT,1731812266
199,aasiaat,68.7098,-52.8699,2.3,92,75,5.73,GL,1731812267
200,goundi,9.3627,17.366,70.54,32,100,3.85,TD,1731812268
201,anna regina,7.2644,-58.5077,81.05,81,39,8.72,GY,1731812269
202,quchan,37.106,58.5095,41.14,65,0,0.78,IR,1731812270
203,namdrik,5.5994,168.1028,83.62,73,62,10.11,MH,1731812271
204,mar del plata,-38.0023,-57.5575,60.1,88,100,17.27,AR,1731811996
205,hermanus,-34.4187,19.2345,62.8,88,0,7.31,ZA,1731812273
206,noumea,-22.2763,166.4572,77.23,78,100,17.96,NC,1731812275
207,lanzhou,36.0564,103.7922,41.5,43,100,3.47,CN,1731812276
208,maevatanana,-13.8831,48.5289,75.9,91,6,1.95,MG,1731812277
209,goianapolis,-16.5106,-49.0239,67.28,97,100,8.3,BR,1731812278
210,papao,-17.75,-149.55,80.28,89,100,18.86,PF,1731812279
211,usinsk,65.9939,57.5281,18.95,97,89,8.88,RU,1731812281
212,san patricio,28.017,-97.5169,73.33,71,100,10.69,US,1731812282
213,port mathurin,-19.6833,63.4167,75.49,71,100,22.15,MU,1731812283
214,uige,-7.6087,15.0613,67.33,100,100,1.1,AO,1731812284
215,tolanaro,-25.0319,46.9987,77.07,73,20,18.41,MG,1731812286
216,troy,42.6056,-83.1499,48.49,74,100,6.91,US,1731812141
217,tabora,-5.0167,32.8,68.14,54,46,4.25,TZ,1731812289
218,orhaneli,39.9033,28.9906,49.73,90,100,0.98,TR,1731812117
219,okakarara,-20.5833,17.4333,73.74,36,39,2.3,NA,1731812291
220,papatowai,-46.5619,169.4708,54.48,54,56,5.95,NZ,1731812292
221,miguel auza,24.2933,-103.4503,62.19,46,81,9.75,MX,1731812294
222,axim,4.8699,-2.2405,77.86,86,94,5.73,GH,1731812295
223,onega,63.9061,38.1404,36.77,72,100,18.39,RU,1731812297
224,atafu village,-8.5421,-172.5159,82.31,71,55,1.95,TK,1731812298
225,alo,6.5486,4.2686,76.44,91,48,0.89,NG,1731812300
226,brookings,44.3114,-96.7984,46.18,68,0,9.22,US,1731812301
227,alofi,-19.0595,-169.9187,78.69,73,75,14.97,NU,1731812302
228,deland,29.0283,-81.3031,66.94,91,0,5.1,US,1731812303
229,madimba,-10.4,40.3333,76.46,87,23,2.8,TZ,1731812304
230,crixas,-14.5489,-49.9692,71.69,88,100,4.29,BR,1731812305
231,rabo de peixe,37.8,-25.5833,63.99,99,75,20.71,PT,1731812307
232,quzhou,28.9594,118.8686,63.91,86,100,11.12,CN,1731812308
233,pisco,-13.7,-76.2167,66.25,88,0,13.8,PE,1731812309
234,kapiri mposhi,-13.9652,28.6809,64.63,77,1,4.27,ZM,1731812310
235,lihue,21.9789,-159.3672,78.39,77,75,21.85,US,1731812311
236,homer,59.6425,-151.5483,28.29,55,0,9.22,US,1731812312
237,anaconda,46.1285,-112.9423,21.38,85,95,7.81,US,1731812164
238,mattoon,39.4831,-88.3728,48.15,49,0,12.66,US,1731812315
239,yinchuan,38.4681,106.2731,39.15,37,37,4.27,CN,1731812316
240,terek,43.4833,44.1361,39.27,81,100,1.21,RU,1731812317
241,brokopondo,4.75,-55.1667,79.7,80,50,6.53,SR,1731812318
242,bel ombre,-4.6167,55.4167,80.44,83,40,2.3,SC,1731812319
243,nogliki,51.8333,143.1667,26.49,92,100,12.55,RU,1731812320
244,lakheri,25.6667,76.1667,72.86,33,0,1.66,IN,1731812322
245,tavda,58.0425,65.2726,30.2,83,96,12.88,RU,1731812323
246,eldorado at santa fe,35.5264,-105.9347,42.46,50,0,1.01,US,1731812324
247,howard springs,-12.497,131.047,92.98,70,84,9.01,AU,1731812325
248,athens,37.9795,23.7162,54.66,78,40,11.5,GR,1731812051
249,kerema,-7.9631,145.7785,85.84,68,51,9.04,PG,1731812328
250,atasu,48.6814,71.6433,8.73,94,24,3.09,KZ,1731812329
251,cromer,52.9312,1.2989,43.68,72,71,22.5,GB,1731812330
252,freetown,8.484,-13.2299,78.44,83,99,4.65,SL,1731812331
253,andahuaylas,-13.6556,-73.3872,48.78,87,100,2.57,PE,1731812333
254,yen bai,21.7,104.8667,82.9,61,1,2.33,VN,1731812334
255,la'ie,21.6477,-157.9253,77.11,76,4,15.01,US,1731812335
256,port alfred,-33.5906,26.891,61.54,84,1,4.61,ZA,1731812336
257,zvezdnyy,57.7325,56.3147,30.79,89,98,17.05,RU,1731812337
258,kichmengskiy gorodok,59.9816,45.7854,41.0,87,100,16.8,RU,1731812340
259,cill airne,52.05,-9.5167,44.28,90,100,4.7,IE,1731812341
260,kirakira,-10.4544,161.9205,85.98,68,89,12.91,SB,1731812342
261,porbandar,21.6422,69.6093,78.17,40,0,7.54,IN,1731812344
262,east london,-33.0153,27.9116,62.71,85,0,4.63,ZA,1731812346
263,mongo,12.1844,18.693,72.03,24,100,4.47,TD,1731812347
264,tahara,34.6667,137.2667,70.2,65,0,9.62,JP,1731812348
265,nurabad,34.0734,47.9725,40.19,54,0,2.75,IR,1731812349
266,kodiak,57.79,-152.4072,27.91,50,40,26.46,US,1731812350
267,touros,-5.1989,-35.4608,77.56,78,7,12.41,BR,1731812351
268,muisne,0.6,-80.0333,75.33,80,99,6.46,EC,1731812353
269,sipalay,9.75,122.5,84.83,72,100,4.79,PH,1731812354
270,mount isa,-20.7333,139.5,100.17,30,66,14.97,AU,1731812355
271,hammerfest,70.6634,23.6821,37.85,87,75,23.02,NO,1731812356
272,hamilton,39.1834,-84.5333,45.45,89,0,3.44,US,1731812175
273,lompoc,34.6391,-120.4579,51.69,68,0,11.5,US,1731812216
274,port saint john's,-31.6229,29.5448,66.88,87,72,7.38,ZA,1731812359
275,petropavlovsk-kamchatsky,53.0452,158.6483,18.19,58,75,2.24,RU,1731812361
276,cimislia,46.52,28.7842,34.7,80,0,8.21,MD,1731812363
277,arkhangel'sk,64.5401,40.5433,37.51,100,100,20.13,RU,1731812132
278,nagqu,31.5,92.0,35.71,9,64,24.11,CN,1731812365
